ID_Transacao,Data_Venda,CPF_Cliente,Tipo_Operacao,Moeda_Estrangeira,Valor_BRL
TRX-000001,2026-06-06,237.465.918-64,Cartão Pré-pago,USD,8375.03
TRX-000002,2026-05-23,12809657386,Papel Moeda,GBP,5784.82
TRX-000003,2026-06-15,94682075365,Papel Moeda,GBP,4023.39
TRX-000004,2026-06-01,427.698.503-00,Remessa Internacional,USD,4458.05
TRX-000005,2026-06-02,780.624.135-35,Cartão Pré-pago,GBP,7267.58
TRX-000006,2026-05-20,46527830947,Cartão Pré-pago,EUR,11808.91
TRX-000007,2026-06-03,081.647.359-57,Cartão Pré-pago,EUR,13098.7
TRX-000008,2026-05-17,735.426.109-25,Remessa Internacional,GBP,7377.84
TRX-000009,2026-05-27,95647803148,Papel Moeda,USD,9685.47
TRX-000010,2026-06-01,61842709313,Remessa Internacional,USD,9690.21
TRX-000011,2026-05-29,53689027438,Papel Moeda,EUR,12473.43
TRX-000012,2026-05-24,214.586.793-73,Cartão Pré-pago,EUR,7353.68
TRX-000013,2026-05-26,604.917.528-49,Remessa Internacional,EUR,2681.45
TRX-000014,2026-05-20,450.296.718-11,Remessa Internacional,GBP,3674.26
TRX-000015,2026-06-14,374.892.501-88,Remessa Internacional,USD,13293.61
TRX-000016,2026-06-12,854.032.916-60,Cartão Pré-pago,GBP,12525.14
TRX-000017,2026-06-04,73804591205,Papel Moeda,GBP,10686.13
TRX-000018,2026-05-30,18356749255,Papel Moeda,GBP,4751.92
TRX-000019,2026-06-09,52190874360,Remessa Internacional,GBP,1924.2
TRX-000020,2026-06-11,71923048678,Papel Moeda,GBP,8883.28
TRX-000021,2026-06-10,579.682.013-30,Remessa Internacional,GBP,11972.47
TRX-000022,2026-06-05,35427018905,Cartão Pré-pago,USD,5316.85
TRX-000023,2026-06-07,82604379104,Papel Moeda,USD,12068.56
TRX-000024,2026-06-02,93475608200,Remessa Internacional,USD,505.4
TRX-000025,2026-05-21,671.380.495-01,Remessa Internacional,GBP,4551.26
TRX-000026,2026-05-22,147.236.950-52,Remessa Internacional,USD,9446.62
TRX-000027,2026-05-25,028.143.756-44,Remessa Internacional,EUR,13724.66
TRX-000028,2026-05-23,653.947.201-34,Remessa Internacional,USD,6597.87
TRX-000029,2026-06-04,94861075300,Remessa Internacional,EUR,7877.01
TRX-000030,2026-05-18,270.814.369-78,Remessa Internacional,USD,12172.68
TRX-000031,2026-06-11,340.127.698-04,Papel Moeda,GBP,4203.51
TRX-000032,2026-05-24,705.812.634-80,Cartão Pré-pago,GBP,4154.38
TRX-000033,2026-06-08,548.263.791-37,Cartão Pré-pago,USD,7599.6
TRX-000034,2026-05-31,283.157.940-60,Remessa Internacional,USD,2506.63
TRX-000035,2026-06-09,45970623865,Papel Moeda,USD,1116.87
TRX-000036,2026-06-12,723.546.019-99,Papel Moeda,GBP,10387.76
TRX-000037,2026-06-08,12830764544,Papel Moeda,USD,6133.45
TRX-000038,2026-06-08,94153207888,Papel Moeda,EUR,4419.26
TRX-000039,2026-06-05,97531046261,Papel Moeda,GBP,10505.1
TRX-000040,2026-05-31,53982760429,Papel Moeda,GBP,7335.11
TRX-000041,2026-06-01,37854160910,Cartão Pré-pago,GBP,11425.2
TRX-000042,2026-06-13,31768902496,Remessa Internacional,EUR,1765.17
TRX-000043,2026-05-18,32654098729,Papel Moeda,EUR,781.69
TRX-000044,2026-05-21,247.356.819-73,Cartão Pré-pago,EUR,724.26
TRX-000045,2026-06-05,81934605298,Papel Moeda,GBP,13358.23
TRX-000046,2026-05-28,41357906820,Remessa Internacional,EUR,10184.15
TRX-000047,2026-05-18,927.650.184-30,Remessa Internacional,GBP,5462.69
TRX-000048,2026-05-17,17958460201,Papel Moeda,USD,7041.42
TRX-000049,2026-06-12,58061427958,Remessa Internacional,GBP,3772.9
TRX-000050,2026-06-12,235.190.476-16,Cartão Pré-pago,EUR,5302.03
TRX-000051,2026-05-19,37645128062,Papel Moeda,GBP,4876.08
TRX-000052,2026-05-18,940.738.256-74,Papel Moeda,USD,4550.14
TRX-000053,2026-06-05,083.264.159-60,Cartão Pré-pago,USD,4541.54
TRX-000054,2026-05-18,84715932628,Papel Moeda,USD,14535.28
TRX-000055,2026-05-31,219.045.786-67,Remessa Internacional,GBP,2622.34
TRX-000056,2026-05-21,40682195324,Papel Moeda,GBP,8540.05
TRX-000057,2026-05-20,62048975356,Papel Moeda,USD,11729.77
TRX-000058,2026-06-03,53648071262,Papel Moeda,GBP,8745.44
TRX-000059,2026-05-29,17804632517,Papel Moeda,USD,5754.93
TRX-000060,2026-05-31,90761254811,Remessa Internacional,USD,12986.08
TRX-000061,2026-05-23,296.780.351-03,Remessa Internacional,USD,8967.52
TRX-000062,2026-06-10,093.156.784-00,Cartão Pré-pago,EUR,6178.99
TRX-000063,2026-05-27,751.293.648-64,Papel Moeda,GBP,5241.68
TRX-000064,2026-06-11,342.591.706-43,Cartão Pré-pago,GBP,5499.37
TRX-000065,2026-06-12,54072398683,Cartão Pré-pago,USD,2032.53
TRX-000066,2026-06-01,89564037247,Cartão Pré-pago,EUR,8914.94
TRX-000067,2026-06-12,076.894.351-57,Cartão Pré-pago,GBP,3919.7
TRX-000068,2026-06-03,709.238.654-38,Cartão Pré-pago,GBP,6398.47
TRX-000069,2026-06-01,43709652847,Remessa Internacional,GBP,7474.92
TRX-000070,2026-06-07,501.674.398-39,Cartão Pré-pago,USD,2396.06
TRX-000071,2026-06-09,90376824131,Cartão Pré-pago,GBP,5740.37
TRX-000072,2026-05-18,51286730902,Remessa Internacional,USD,12138.42
TRX-000073,2026-05-29,715.698.403-93,Papel Moeda,USD,8655.18
TRX-000074,2026-06-09,47265983173,Papel Moeda,EUR,8106.59
TRX-000075,2026-06-05,372.904.816-31,Remessa Internacional,EUR,12843.0
TRX-000076,2026-06-02,21534869042,Papel Moeda,EUR,2758.47
TRX-000077,2026-05-28,539.067.124-43,Remessa Internacional,GBP,6871.78
TRX-000078,2026-06-03,59860234710,Papel Moeda,GBP,2456.12
TRX-000079,2026-05-23,361.924.508-89,Remessa Internacional,USD,9747.69
TRX-000080,2026-06-10,301.462.957-06,Cartão Pré-pago,USD,14684.19
TRX-000081,2026-05-24,35219467034,Papel Moeda,EUR,3756.87
TRX-000082,2026-06-07,08942756310,Cartão Pré-pago,USD,10141.39
TRX-000083,2026-05-22,394.028.617-69,Papel Moeda,USD,8016.93
TRX-000084,2026-06-09,753.842.906-92,Remessa Internacional,USD,6237.1
TRX-000085,2026-06-13,560.147.238-62,Remessa Internacional,GBP,10259.12
TRX-000086,2026-05-23,17685930439,Cartão Pré-pago,GBP,537.0
TRX-000087,2026-06-08,547.192.360-06,Papel Moeda,GBP,10975.27
TRX-000088,2026-06-11,275.016.398-68,Papel Moeda,EUR,14089.21
TRX-000089,2026-06-05,542.608.713-07,Cartão Pré-pago,GBP,7018.29
TRX-000090,2026-05-23,273.098.461-50,Remessa Internacional,USD,5170.34
TRX-000091,2026-06-12,01865729302,Remessa Internacional,GBP,2949.98
TRX-000092,2026-06-10,65749321061,Cartão Pré-pago,USD,12637.93
TRX-000093,2026-05-24,872.635.409-83,Cartão Pré-pago,GBP,1623.45
TRX-000094,2026-05-27,29368701512,Remessa Internacional,GBP,10612.89
TRX-000095,2026-06-02,37064289113,Cartão Pré-pago,USD,8086.5
TRX-000096,2026-05-24,58321974619,Papel Moeda,USD,14416.96
TRX-000097,2026-05-19,65908732400,Remessa Internacional,USD,4656.35
TRX-000098,2026-06-05,706.821.945-49,Papel Moeda,GBP,9609.63
TRX-000099,2026-06-05,639.570.142-80,Papel Moeda,EUR,9506.5
TRX-000100,2026-05-29,71584320923,Cartão Pré-pago,USD,2207.79
TRX-000101,2026-06-10,65284730135,Cartão Pré-pago,EUR,11731.48
TRX-000102,2026-05-20,803.721.654-35,Papel Moeda,USD,682.53
TRX-000103,2026-05-20,653.298.701-86,Papel Moeda,USD,12612.19
TRX-000104,2026-06-11,375.819.260-95,Remessa Internacional,EUR,13009.84
TRX-000105,2026-05-26,420.786.915-85,Remessa Internacional,GBP,4532.69
TRX-000106,2026-05-23,386.274.915-00,Papel Moeda,EUR,1255.81
TRX-000107,2026-05-20,12784956300,Remessa Internacional,GBP,10723.19
TRX-000108,2026-06-04,92680175476,Remessa Internacional,GBP,5321.63
TRX-000109,2026-05-22,36078241931,Remessa Internacional,EUR,9680.06
TRX-000110,2026-05-19,534.978.016-66,Remessa Internacional,EUR,2438.93
TRX-000111,2026-06-08,564.289.317-37,Cartão Pré-pago,EUR,4859.94
TRX-000112,2026-05-27,130.769.284-22,Remessa Internacional,GBP,13480.69
TRX-000113,2026-05-26,608.197.532-03,Remessa Internacional,USD,2413.25
TRX-000114,2026-06-14,041.657.389-48,Papel Moeda,EUR,2266.45
TRX-000115,2026-05-17,398.740.261-03,Remessa Internacional,EUR,3240.0
TRX-000116,2026-05-17,531.429.076-61,Remessa Internacional,GBP,4213.66
TRX-000117,2026-05-19,84716203590,Cartão Pré-pago,USD,4001.36
TRX-000118,2026-06-11,94302761580,Remessa Internacional,GBP,13971.85
TRX-000119,2026-05-29,34982051615,Cartão Pré-pago,GBP,14101.05
TRX-000120,2026-06-04,325.697.410-43,Remessa Internacional,GBP,9296.3
TRX-000121,2026-05-25,24875093179,Remessa Internacional,USD,10664.29
TRX-000122,2026-05-24,821.347.956-46,Cartão Pré-pago,GBP,12870.42
TRX-000123,2026-05-30,580.314.972-14,Cartão Pré-pago,USD,1647.75
TRX-000124,2026-05-25,34618952024,Remessa Internacional,EUR,2076.4
TRX-000125,2026-05-28,98610374548,Papel Moeda,USD,10655.12
TRX-000126,2026-06-14,502.496.138-24,Papel Moeda,USD,2333.86
TRX-000127,2026-05-18,71362098540,Papel Moeda,EUR,12837.63
TRX-000128,2026-05-22,45907321652,Cartão Pré-pago,USD,5304.78
TRX-000129,2026-05-28,14832769022,Papel Moeda,EUR,14582.37
TRX-000130,2026-06-13,354.610.279-70,Cartão Pré-pago,GBP,10392.32
TRX-000131,2026-05-19,70285163426,Papel Moeda,GBP,10284.04
TRX-000132,2026-06-12,062.753.418-07,Cartão Pré-pago,USD,7135.04
TRX-000133,2026-05-21,107.263.895-95,Remessa Internacional,EUR,7506.86
TRX-000134,2026-06-10,023.698.751-86,Remessa Internacional,EUR,8045.1
TRX-000135,2026-06-15,08351927414,Remessa Internacional,USD,14953.79
TRX-000136,2026-06-02,39702145805,Remessa Internacional,USD,12898.9
TRX-000137,2026-05-24,401.978.526-02,Papel Moeda,EUR,6078.38
TRX-000138,2026-05-29,480.712.539-79,Papel Moeda,EUR,5073.86
TRX-000139,2026-06-15,67048593148,Remessa Internacional,EUR,12473.38
TRX-000140,2026-05-28,48261390551,Papel Moeda,USD,14844.13
TRX-000141,2026-05-29,61280495324,Cartão Pré-pago,EUR,8225.79
TRX-000142,2026-05-27,64930875200,Remessa Internacional,USD,10557.27
TRX-000143,2026-06-11,091.734.256-99,Papel Moeda,GBP,7410.9
TRX-000144,2026-05-24,826.415.739-46,Remessa Internacional,USD,4398.44
TRX-000145,2026-05-18,275.640.198-67,Cartão Pré-pago,GBP,12504.72
TRX-000146,2026-06-06,64891502711,Cartão Pré-pago,EUR,4931.34
TRX-000147,2026-06-02,87249153609,Papel Moeda,USD,11647.98
TRX-000148,2026-05-30,68742915309,Remessa Internacional,USD,3522.34
TRX-000149,2026-06-09,412.798.605-02,Papel Moeda,USD,10314.36
TRX-000150,2026-05-27,871.403.269-40,Cartão Pré-pago,USD,7843.69
TRX-000151,2026-06-12,98750631420,Papel Moeda,EUR,9403.06
TRX-000152,2026-05-26,87453621909,Papel Moeda,EUR,13999.92
TRX-000153,2026-06-10,023.574.816-17,Remessa Internacional,GBP,4337.23
TRX-000154,2026-05-19,547.380.619-84,Remessa Internacional,EUR,5667.02
TRX-000155,2026-05-24,726.109.834-50,Remessa Internacional,EUR,9531.06
TRX-000156,2026-06-05,87563914200,Cartão Pré-pago,GBP,502.01
TRX-000157,2026-05-30,68742035171,Cartão Pré-pago,EUR,13262.47
TRX-000158,2026-06-13,63720189503,Cartão Pré-pago,GBP,1787.39
TRX-000159,2026-06-15,713.968.204-69,Papel Moeda,EUR,13974.49
TRX-000160,2026-06-08,98127043613,Cartão Pré-pago,GBP,8366.05
TRX-000161,2026-05-20,670.245.931-99,Papel Moeda,EUR,7904.36
TRX-000162,2026-05-17,547.013.289-79,Cartão Pré-pago,GBP,5129.15
TRX-000163,2026-05-27,748.165.293-73,Remessa Internacional,GBP,3199.95
TRX-000164,2026-06-06,09753421699,Remessa Internacional,GBP,7639.73
TRX-000165,2026-06-05,308.265.174-71,Remessa Internacional,EUR,8550.54
TRX-000166,2026-05-26,586.714.309-01,Cartão Pré-pago,GBP,8219.85
TRX-000167,2026-06-12,906.213.478-50,Remessa Internacional,GBP,4479.54
TRX-000168,2026-05-21,273.560.184-62,Cartão Pré-pago,EUR,1662.5
TRX-000169,2026-06-03,136.584.279-73,Remessa Internacional,GBP,1730.44
TRX-000170,2026-05-23,259.318.476-00,Cartão Pré-pago,USD,1426.2
TRX-000171,2026-06-10,18509672458,Cartão Pré-pago,EUR,9672.29
TRX-000172,2026-05-21,37825094123,Papel Moeda,USD,2976.56
TRX-000173,2026-05-27,07148352690,Papel Moeda,USD,10109.23
TRX-000174,2026-06-10,67912348069,Cartão Pré-pago,USD,6471.65
TRX-000175,2026-05-27,45629830198,Papel Moeda,GBP,10272.45
TRX-000176,2026-05-26,057.961.834-00,Papel Moeda,GBP,4972.94
TRX-000177,2026-06-01,279.581.630-02,Papel Moeda,EUR,3540.1
TRX-000178,2026-06-13,58096174258,Papel Moeda,GBP,11668.19
TRX-000179,2026-06-12,41723859079,Cartão Pré-pago,EUR,11348.91
TRX-000180,2026-05-17,01675324808,Cartão Pré-pago,USD,5239.75
TRX-000181,2026-06-13,48023617931,Papel Moeda,EUR,13213.21
TRX-000182,2026-05-22,461.870.359-84,Cartão Pré-pago,GBP,3926.5
TRX-000183,2026-05-17,78361095420,Papel Moeda,EUR,6094.01
TRX-000184,2026-06-04,285.713.960-86,Papel Moeda,GBP,2616.57
TRX-000185,2026-06-03,70843615290,Remessa Internacional,EUR,9721.63
TRX-000186,2026-05-25,62930854189,Cartão Pré-pago,GBP,14133.7
TRX-000187,2026-06-15,70452398665,Cartão Pré-pago,USD,3960.21
TRX-000188,2026-06-11,970.864.532-00,Remessa Internacional,EUR,3405.23
TRX-000189,2026-05-27,30195842723,Remessa Internacional,GBP,14034.83
TRX-000190,2026-05-19,62874130508,Cartão Pré-pago,GBP,6981.11
TRX-000191,2026-05-22,810.743.265-71,Remessa Internacional,GBP,10371.67
TRX-000192,2026-06-06,82051397686,Remessa Internacional,USD,3687.02
